ticker,shortName,sector,industry,currency,country,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,ebitdaMargins,debtToEquity,currentRatio,quickRatio,totalDebt,totalCash,ebitda,freeCashflow,operatingCashflow,dividendYield,payoutRatio,fiveYearAvgDividendYield,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,beta,trailingEps,forwardEps,bookValue,targetMeanPrice,recommendationMean,numberOfAnalystOpinions,sharesOutstanding,floatShares,heldPercentInsiders,roic,net_debt_to_ebitda,fcf_calc,revenue_cagr_3y,share_count_change,price,sma20,sma50,sma200,px_vs_sma50,px_vs_sma200,golden_cross,rsi14,macd_hist,macd_bullish,adx14,atr_pct,bb_position,high_52w,low_52w,pct_from_52w_high,pos_in_52w_range,mom_1m,mom_3m,mom_6m,mom_12m,volatility_ann,max_drawdown_1y,volume_trend,trend_up,mom_12_1,market,fcf_yield,earnings_yield,analyst_upside,score_value,score_quality,score_momentum,score_health,data_coverage,score_total,rank,flags,updated_at
SHL.DE,Siemens Healthineers AG       N,Healthcare,Medical Devices,EUR,Germany,43648761856,55764299776.0,19.796953,16.522903,1.72,2.2764418,1.8840108,13.865,2.407,12.147000400000001,4.4799999999999995,9.552,16.412,39.019,17.36,78.296,1.162,0.705,15002999808.0,2360000000.0,4022000128.0,2145374976.0,3422000128.0,2.59,50.760000000000005,1.84,1.7999999999999998,22.400000000000002,0.212,0.835,1.97,2.36036,17.132,45.52105,1.9,19.0,1119198976,357714300.0,0.6702,,,,,-0.22033136803936149,39.0,39.4125,37.336399993896485,38.540177764892576,4.45570544127305,1.1930983762256764,False,52.76764643048841,-0.23485247262771924,False,16.95780453057012,1.8805643243084234,25.951894345137788,48.36732482910156,33.400001525878906,-19.367051748674445,37.41482936307885,-1.290808259172338,11.111115941370597,-2.4512244958908025,-15.99179705998045,24.78150875198293,-40.03250005205269,0.725289471106594,True,-14.700988800808112,Germania,4.9150878164144185,5.05128238673901,16.720641025641036,46.6,40.7,49.3,47.7,100.0,45.7,166.0,,2026-09-08T18:11:06.337517+00:00
PHIA.AS,KON.PHILIPS N.V.,Healthcare,Medical Devices,EUR,Netherlands,21366564864,27315920896.0,19.17544,12.987013,0.78,1.8666211,1.2095424,11.306,1.546,10.154,4.0689997,6.306000000000001,13.991000000000001,45.938,13.677,65.049,1.257,0.726,7464999936.0,1788999936.0,2416000000.0,1527500032.0,2281999872.0,3.84,74.56,2.59,0.5,61.4,0.6,0.91,1.14,1.68322,11.711,26.995,,20.0,977427472,976616207.0,0.18979,7.0355444348335086,1.9296153846153845,504000000.0,0.013087047711479727,2.8410380761302756,21.860000610351562,23.18450002670288,23.37179988861084,23.31700674057007,-6.4684760500451794,-6.248684260503346,True,29.189351184282216,-0.15075431524471516,False,19.437443743664097,2.106238991208722,-14.700389961789739,26.54710578918457,21.106731414794922,-17.65580480242994,13.845907353409833,-5.490698644594971,-2.67140916553239,-9.263416873314368,-6.072429616828934,27.442136090477153,-23.51838726588059,0.7669295581667558,False,-0.581730972233963,Paesi_Bassi,7.149020171106903,5.215004192863372,23.490389964659087,56.2,38.4,41.1,47.0,100.0,45.7,166.0,Ipervenduto,2026-09-08T18:11:06.337517+00:00
BN.PA,DANONE,Consumer Defensive,Packaged Foods,EUR,France,41814609920,50068873216.0,21.496689,15.361535,1.49,2.37168,1.5215272,11.099,1.822,12.1929996,5.021,7.132,13.303999999999998,50.036,16.414,98.519,0.967,0.707,17426999296.0,8338999808.0,4511000064.0,2077500032.0,3518000128.0,3.54,74.5,3.38,1.4000000000000001,12.4,0.13,0.181,3.02,4.22614,27.373,80.02273,2.27273,22.0,644094490,631712021.0,0.01695,7.316326554739041,2.8332194121667804,2724000000.0,-0.45760582174211306,-0.618554638398483,64.91999816894531,65.50800018310547,68.76119995117188,68.29753223419189,-5.586292538458093,-4.945323725116502,True,42.15146636464742,0.002637626666152748,True,27.250735942195377,1.6075548310009469,38.169782720774485,76.91645050048828,60.939998626708984,-15.596731587954405,24.91166107268373,-4.837295503824091,-2.140485751179144,-3.0519538077986463,-9.576048964053552,22.756865368867548,-20.771176737644538,0.7488958055402835,False,-4.738753460229461,Francia,4.968359231318162,4.6518791800914085,23.26360483213803,46.4,42.2,46.6,48.1,100.0,45.4,168.0,,2026-09-08T18:11:06.337517+00:00
IFX.DE,INFINEON TECHNOLOGIES AG      N,Technology,Semiconductors,EUR,Germany,75955757056,84855160832.0,71.28049,20.799751,0.5,4.374345,4.8717694,20.252,5.443,7.019,5.333,7.774,14.238000000000001,41.132998,26.874,40.183,1.728,0.74,7240999936.0,1656000000.0,4190000128.0,1743874944.0,3363000064.0,57.99999999999999,42.68,0.93,12.6,39.6,0.387,1.933,0.82,2.81013,13.362,87.31818,1.58333,22.0,1299499659,1304000000.0,4.0000003e-05,5.091575702024832,1.668089951608312,1123000000.0,1.0302827476500243,0.22911170609716258,58.45000076293945,57.63150005340576,63.285800247192384,53.42279990196228,-7.641207767563096,9.410215994299698,True,48.63683240452737,0.5418794885889087,True,21.76634434696333,4.385905180209365,56.784894004098874,88.0,31.452974319458008,-33.5795445875688,47.742610895220274,-5.847295362512983,-22.170436816878368,41.47404745441084,83.63136759633767,50.89470120947652,-38.45454562794078,0.8000249778417834,False,89.47866295885065,Germania,2.2959088442950955,1.4029084255733932,49.389527562443725,47.6,33.8,56.5,44.9,100.0,45.3,169.0,Dividendo sostenibile | Lontano dai massimi | Upside analisti,2026-09-08T18:11:06.337517+00:00
LDO.MI,LEONARDO,Industrials,Aerospace & Defense,EUR,Italy,29230807040,33726846976.0,25.984613,17.74893,1.31,3.0274243,1.4198673,14.456,1.638,11.892999999999999,3.32,5.469,7.813000000000001,39.894,11.332,41.533,0.9,0.476,4512999936.0,986000000.0,2332999936.0,1092375040.0,2236000000.0,1.25,32.29,4.7,16.7,93.89999999999999,0.944,0.367,1.95,2.85482,16.737,69.30526,1.94737,19.0,576885870,403078359.0,0.30200002,13.057641412439624,0.5208159866777685,734000000.0,9.8500001701594,0.08790684997919129,50.66999816894531,55.29549999237061,53.888999710083006,53.6123664855957,-5.973392637561603,-5.488226895264791,True,33.05539694347348,-0.7876028778632163,False,28.620411492903578,2.976942825986522,17.49274674581794,63.49122619628906,44.43199920654297,-20.19370044564225,32.729548610541244,-12.698143746256118,-1.981014499801459,-17.89380260852811,8.215933658894903,38.48831751568158,-27.4545411504698,0.7251329566255963,False,20.91407740515102,Italia,3.737067671464469,3.8484313774463375,36.77770377831963,51.7,40.1,38.8,53.7,100.0,45.3,169.0,Bilancio solido | Upside analisti,2026-09-08T18:11:06.337517+00:00
BA.L,BAE SYSTEMS PLC ORD 2.5P,Industrials,Aerospace & Defense,GBp,United Kingdom,56911257600,63398711296.0,27.764286,20.303377,2.81,4.7001204,1.9370748,16.893,2.158,18.626,4.795,7.192,9.668000000000001,13.315,12.774,72.95,1.021,0.897,9153000448.0,4200000000.0,3752999936.0,2938374912.0,5600999936.0,1.94,52.01,2.59,7.7,5.6000000000000005,0.053,-0.057,0.7,0.95723,4.135,2342.789,2.21053,19.0,2928286887,2863313310.0,0.00448,14.787045656233433,1.325070821529745,2329000000.0,10.053885566377208,-0.046827353754252954,1943.5,2106.775,2032.8644604492188,1991.9429986572266,-4.395987149555025,-2.431947033117021,True,30.27114119132726,-29.014862821260614,False,28.941885220898875,2.511321215602752,13.281344274883104,2330.74853515625,1609.326416015625,-16.614771148200656,46.32150513799749,-12.454954954954955,0.18041237113401998,-13.957076334655083,8.4435149612615,30.53355605548077,-23.114828864201474,0.8318160899668139,False,20.898469916216456,UK,5.163082026147319,3.6017493840828467,20.5448417802933,49.5,42.1,40.5,51.1,100.0,45.3,169.0,Ipervenduto,2026-09-08T18:11:06.337517+00:00
LONN.SW,LONZA N,Healthcare,Diagnostics & Research,CHF,Switzerland,38833393664,42828247040.0,35.94053,25.208218,1.02,4.7777405,5.651782,17.92,6.233,12.895000000000001,5.444,-1.601,23.413999999999998,37.141999999999996,34.784,51.116,1.663,0.588,4167000064.0,487000000.0,2390000128.0,-1567000064.0,1435000064.0,89.0,32.279998,0.69,11.200000000000001,39.2,0.387,0.842,15.47,22.0563,116.373,686.0,1.54167,23.0,69844229,69741488.0,0.00090000004,8.893599214931898,1.8396726047183438,-217000000.0,1.623300156343599,-3.186025133459769,556.0,576.8099975585938,571.672001953125,526.7410636901856,-2.741432482189332,5.55470957681472,True,39.28950330296214,-3.866141974804907,False,14.038728014994414,1.9986909411146891,4.246029180433977,593.7999877929688,461.8567199707031,-6.365777798929139,71.35133272287352,-4.071769596277064,13.008130081300816,12.659018174521531,-2.8311074294196548,22.477947140894415,-23.333636943347592,0.7885819963390452,False,1.2406621668574092,Svizzera,-4.035187028870638,2.7823741052232673,23.381294964028786,30.9,41.1,55.8,61.2,100.0,44.7,172.0,Dividendo sostenibile | Buyback in corso,2026-09-08T18:11:06.337517+00:00
NOKIA.HE,Nokia Corporation,Technology,Communication Equipment,EUR,Finland,51406757888,49721556992.0,76.51667,22.63751,0.85,2.425251,2.5206804,19.087,2.438,3.4549999999999996,3.121,3.472,7.933999999999999,45.504,12.773000000000001,15.776,1.505,1.22,3359000064.0,5129999872.0,2604999936.0,1182875008.0,1134000000.0,1.53,116.67,2.45,8.4,-97.89999999999999,-0.978,0.767,0.12,0.40561,3.786,10.58364,2.56522,22.0,5598644598,4445435784.0,0.06678,3.969784312402161,-0.465601420328451,1465000000.0,-5.756932997732567,3.896873312816762,9.182000160217285,8.857499933242797,9.135790729522705,8.207255160808563,0.5058065805431777,11.876625988958445,True,54.90125553543376,0.04691818871614439,True,10.86177034178893,4.99887912905611,74.7218400739001,14.613557815551758,3.7511372566223145,-37.16793489915376,49.99680203995172,12.579695998192753,-23.36470877590404,38.250742083485534,149.80255582532962,56.11246738319464,-48.29458829898745,0.929187979456355,False,137.22285982713686,Nordics,2.3010107164842646,1.3069047568327268,15.265081848458028,44.1,31.1,60.9,45.3,100.0,44.6,173.0,Bilancio solido | Lontano dai massimi,2026-09-08T18:11:06.337517+00:00
LHA.DE,DEUTSCHE LUFTHANSA AG         V,Industrials,Airlines,EUR,Germany,9383179264,16132414464.0,13.939286,5.972319,0.58,0.77517384,0.22829564,5.083,0.393,6.2010000000000005,1.506,1.63,-1.517,17.893,7.7219999999999995,121.939,0.858,0.668,14840000512.0,8144000000.0,3174000128.0,-3529750016.0,3470000128.0,4.23,58.77,5.37,7.9,-88.1,-0.878,1.268,0.56,1.30703,10.07,9.65833,2.94444,18.0,1202046921,1021611551.0,0.20037001,6.957308429501258,2.685783035893323,-438000000.0,8.623725709842534,0.08110996408221549,7.806000232696533,7.902600026130676,8.635940027236938,8.221924109458923,-9.610300580166752,-5.058717049989426,True,40.73931941222429,0.026865646748322564,True,28.611298861379023,2.509303280946685,38.31702678024613,10.085000038146973,6.609675884246826,-22.597915684977878,34.42338888322531,-6.4253149657474085,-2.958720150994487,-0.9933164435084962,7.272491608590448,39.72596792662626,-25.13684202831351,0.877493672756849,False,13.697806574337857,Germania,-37.61784696517975,7.1739685949481204,23.729563311370683,62.4,30.2,41.7,41.4,100.0,44.4,174.0,P/E forward basso | Dividendo sostenibile,2026-09-08T18:11:06.337517+00:00
SOLB.BR,SOLVAY,Basic Materials,Chemicals,EUR,Belgium,2751949824,4642759168.0,,10.287133,0.29,2.6376927,0.6016506,7.909,1.015,0.7779999999999999,3.687,0.087,6.398,21.382,12.833,201.26,1.15,0.816,2236000000.0,376000000.0,587000000.0,303875008.0,625000000.0,9.36,81.0,6.93,-5.8999999999999995,317.8,3.222,0.246,0.03,2.56048,9.986,24.92667,,15.0,104477978,66186990.0,0.3081,4.313575525812619,2.325072886297376,462000000.0,-15.897049115890727,0.012354368549138961,26.34000015258789,25.910000038146972,26.19159996032715,25.591511611938476,0.5665946047035186,2.9247531447116337,True,56.820225525098465,0.0785523704578848,True,11.648797225631437,2.205252957351832,78.38482651191651,27.799999237060547,23.135774612426758,-5.251795412016813,68.69792512217853,-1.6430191291109009,0.45766911661313525,8.365057440814416,6.43055860192836,24.691023931506834,-29.953341145420076,0.9158507942856229,False,8.073577731039261,Belgio_Portogallo,11.042171094468326,0.11389521640091116,-5.365718088080684,62.0,35.9,38.4,35.9,100.0,44.3,175.0,FCF yield elevato | P/E forward basso,2026-09-08T18:11:06.337517+00:00
CS.PA,AXA,Financial Services,Insurance - Diversified,EUR,France,91288772608,57058242560.0,11.768194,9.75455,19.93,1.9763705,0.9431243,,0.589,14.881,1.051,10.379,11.982000600000001,14.852001000000001,0.0,119.437,11.53,8.966,61108998144.0,99860996096.0,,-26394499072.0,14919999488.0,5.25,62.5,5.7,4.5,13.200000000000001,0.063,0.581,3.71,4.47586,22.091,51.95625,1.76471,16.0,2090901706,1592187107.0,0.20605,,,21924000000.0,9.148116355779234,-5.516092451048237,43.65999984741211,44.01499977111816,44.34059967041016,39.72870038986206,-1.5349359910714844,9.895363852760797,True,46.92397374491858,0.014852341354155002,True,23.859415582581885,1.6702044645741123,35.54296226716219,45.56999969482422,35.342376708984375,-4.191353654165253,81.32508550563014,-3.085459296756099,7.722677430017755,21.23656517653081,15.776811431764525,17.38404401490456,-13.686643153007816,0.8846392107481021,False,18.862270728520624,Francia,-28.913193066292735,8.497480581982249,19.00194727801776,49.9,39.4,40.0,49.4,100.0,44.2,176.0,P/E forward basso | Dividendo sostenibile | Buyback in corso,2026-09-08T18:11:06.337517+00:00
ENI.MI,ENI,Energy,Oil & Gas Integrated,EUR,Italy,67635994624,94474493952.0,12.239584,10.024827,0.42,1.4888494,0.7520793,7.138,1.051,10.901,3.0700000000000003,5.874,10.658,21.52,14.718,64.975,1.48,0.816,36990001152.0,15088000000.0,13235999744.0,-8982875136.0,13125000192.0,4.61,54.690000000000005,6.22,18.5,5.806,5.112,0.241,1.92,2.34418,15.784,25.45,2.27273,22.0,2878127282,1840625733.0,0.36356997,8.991758958771054,1.2256655867023525,4101000000.0,-14.73203822415796,-4.073241740929867,23.5,23.61224994659424,22.65739990234375,20.555833773612974,3.718873751127494,14.32277697325215,True,52.050668323130594,-0.06939506739514972,False,17.55495602316139,2.28170754473997,44.00602148594855,24.59933090209961,13.971792221069336,-4.468946356609149,89.65582779706207,0.9450142047491283,-0.02126850008549175,15.177278285640728,69.3182445183715,27.23330687819812,-18.371763835283094,0.8346053653495563,True,68.37323031362237,Italia,-13.281205053518223,8.170212320941626,8.297872340425538,48.5,39.5,41.7,48.6,100.0,44.1,177.0,P/E forward basso | Dividendo sostenibile | Trend rialzista | Buyback in corso,2026-09-08T18:11:06.337517+00:00
